Term,Dominant_Subject
a10,mathematics
a11,mathematics
a25,mathematics
a2x,mathematics
a3x3,mathematics
a50,mathematics
abc,mathematics
abca,physics
abcd,physics
abcda,physics
ability,chemistry
abscissa,mathematics
absence,chemistry
absolute,physics
absorbs,physics
absorption,chemistry
abundance,chemistry
acb,mathematics
acceleration,physics
accident,physics
acetaldehyde,chemistry
acetate,chemistry
acetic,chemistry
acetone,chemistry
acetophenone,chemistry
acetylation,chemistry
acetylbromidodicarbonylbis,chemistry
acetylene,chemistry
acid,chemistry
acidification,chemistry
acidified,chemistry
acidity,chemistry
act,physics
action,chemistry
activation,chemistry
activity,physics
acu,physics
acute,mathematics
acylation,chemistry
addition,chemistry
adiabatic,chemistry
adj,mathematics
adjoint,mathematics
adsorption,chemistry
ag2s,chemistry
agbr,chemistry
agcl,chemistry
agcn,chemistry
age,physics
agent,chemistry
agno2,chemistry
agno3,chemistry
air,physics
airplane,physics
al2,physics
ala,chemistry
alanine,chemistry
alc,chemistry
alcl3,chemistry
alcohol,chemistry
alcoholic,chemistry
aldehyde,chemistry
aldol,chemistry
alf,chemistry
alkali,chemistry
alkaline,chemistry
alkene,chemistry
alkyl,chemistry
alkylation,chemistry
alkyne,chemistry
allose,chemistry
allotropic,chemistry
allowed,mathematics
allows,physics
alpha,physics
aluminium,chemistry
aluminum,physics
always,mathematics
amalgam,chemistry
amide,chemistry
amine,chemistry
amino,chemistry
ammeter,physics
ammonia,chemistry
ammoniacal,chemistry
ammonium,chemistry
amongst,chemistry
amount,chemistry
amp,physics
ampere,chemistry
amplitude,physics
amu,chemistry
amyl,chemistry
analysis,physics
anda2,physics
andr3,physics
angle,physics
angular,physics
anhydride,chemistry
aniline,chemistry
anilinium,chemistry
anion,chemistry
anode,chemistry
anomers,chemistry
answer,chemistry
anti,physics
antinode,physics
aort,mathematics
aperture,chemistry
apparent,physics
appearance,chemistry
application,chemistry
approach,physics
appropriate,chemistry
approximation,physics
aptitude,chemistry
aqua,chemistry
arc,physics
area,mathematics
argand,physics
argentite,chemistry
argon,chemistry
argument,mathematics
arithmetic,mathematics
arm,physics
aromatic,chemistry
arrangement,physics
array,chemistry
arrhenius,chemistry
arrow,chemistry
aryl,chemistry
aso,physics
aspartame,chemistry
aspartic,chemistry
aspartyl,chemistry
aspirin,chemistry
assembly,physics
assignment,chemistry
assuming,physics
assumption,chemistry
astronaut,physics
asymmetry,chemistry
atm,chemistry
atmosphere,chemistry
atom,chemistry
atomic,chemistry
attraction,physics
attractive,physics
automobile,chemistry
average,chemistry
avogadro,chemistry
ax,mathematics
axis,physics
axle,physics
azimuthal,chemistry
b10,mathematics
b10br,mathematics
b2n,chemistry
b2x,mathematics
b3x3,mathematics
bac,mathematics
backward,chemistry
bacl,chemistry
bacl2,chemistry
baeyer,chemistry
bag,mathematics
balance,physics
ball,physics
balloon,physics
balmer,physics
band,chemistry
bandwidth,physics
bao,chemistry
bar,chemistry
barium,chemistry
base,physics
basicity,chemistry
basis,chemistry
baso,chemistry
baso4,chemistry
bath,physics
battery,physics
bauxite,chemistry
bayer,chemistry
bcc,chemistry
bcl,chemistry
bde,chemistry
be2,physics
bead,physics
beaker,physics
beam,physics
beat,physics
becl,chemistry
becquerel,chemistry
begin,mathematics
beginning,chemistry
behaves,chemistry
behaving,chemistry
behavior,chemistry
behaviour,chemistry
behind,physics
belong,chemistry
bench,physics
bent,chemistry
benzaldehyde,chemistry
benzamide,chemistry
benzenamine,chemistry
benzene,chemistry
benzenesulphonic,chemistry
benzoate,chemistry
benzoic,chemistry
benzophenone,chemistry
benzyl,chemistry
benzylamine,chemistry
beo,chemistry
beta,physics
bf4,chemistry
bh3,chemistry
bi2s3,chemistry
bicarbonate,chemistry
biconcave,physics
biconvex,physics
bif,chemistry
bimetallic,chemistry
binding,physics
binom,mathematics
biochemistry,chemistry
bipyramidal,chemistry
bisector,mathematics
black,chemistry
blackbody,chemistry
blast,chemistry
bleach,physics
blende,chemistry
blister,chemistry
block,physics
blood,chemistry
blow,physics
blue,chemistry
bob,physics
body,physics
bohr,chemistry
boil,chemistry
boiling,chemistry
boj,physics
bold,chemistry
boltzmann,physics
bomb,chemistry
bombard,chemistry
bombardment,chemistry
bond,chemistry
bonding,chemistry
bone,chemistry
borax,chemistry
boron,chemistry
bottom,physics
bounce,physics
boundary,physics
box,mathematics
boy,mathematics
bpg,physics
bqr,physics
br2,chemistry
branch,mathematics
branching,chemistry
brch,chemistry
breadth,physics
break,physics
breathing,mathematics
brf,chemistry
brf3,chemistry
brf4,chemistry
bridge,physics
bright,physics
brilliant,chemistry
bro,chemistry
broglie,physics
bromate,chemistry
bromide,chemistry
bromination,chemistry
bromine,chemistry
bromo,chemistry
bromoalkane,chemistry
bromobenzene,chemistry
bromoethane,chemistry
bromonitrobenzene,chemistry
bromopentane,chemistry
brown,chemistry
brownian,chemistry
brownish,chemistry
bubble,chemistry
buffer,chemistry
building,physics
bulb,physics
bulk,physics
bullet,physics
buoyancy,physics
burette,chemistry
butadiene,chemistry
butan,chemistry
butane,chemistry
butanol,chemistry
butene,chemistry
butyl,chemistry
butylmagnesium,chemistry
bxy,mathematics
c0s,chemistry
